0,000000	0,000000	0,000000
0,010000	0,009923	0,000077
0,020000	0,019850	0,000149
0,030000	0,029780	0,000216
0,040000	0,039712	0,000277
0,050000	0,049644	0,000335
0,060000	0,059576	0,000388
0,070000	0,069506	0,000437
0,080000	0,079434	0,000481
0,090000	0,089357	0,000522
0,100000	0,099274	0,000559
0,110000	0,109186	0,000592
0,120000	0,119089	0,000623
0,130000	0,128984	0,000650
0,140000	0,138869	0,000674
0,150000	0,148743	0,000695
0,160000	0,158604	0,000714
0,170000	0,168452	0,000730
0,180000	0,178286	0,000744
0,190000	0,188104	0,000755
0,200000	0,197905	0,000764
0,210000	0,207688	0,000772
0,220000	0,217453	0,000777
0,230000	0,227197	0,000781
0,240000	0,236920	0,000783
0,250000	0,246622	0,000782
0,260000	0,256299	0,000782
0,270000	0,265953	0,000778
0,280000	0,275581	0,000775
0,290000	0,285183	0,000769
0,300000	0,294757	0,000763
0,310000	0,304303	0,000756
0,320000	0,313819	0,000748
0,330000	0,323305	0,000738
0,340000	0,332759	0,000728
0,350000	0,342180	0,000718
0,360000	0,351568	0,000706
0,370000	0,360921	0,000694
0,380000	0,370239	0,000681
0,390000	0,379520	0,000668
0,400000	0,388763	0,000655
0,410000	0,397968	0,000641
0,420000	0,407133	0,000627
0,430000	0,416258	0,000613
0,440000	0,425342	0,000597
0,450000	0,434383	0,000583
0,460000	0,443381	0,000567
0,470000	0,452334	0,000552
0,480000	0,461242	0,000537
0,490000	0,470105	0,000521
0,500000	0,478920	0,000506
0,510000	0,487687	0,000490
0,520000	0,496405	0,000475
0,530000	0,505074	0,000459
0,540000	0,513692	0,000444
0,550000	0,522259	0,000428
0,560000	0,530773	0,000413
0,570000	0,539234	0,000398
0,580000	0,547641	0,000383
0,590000	0,555992	0,000369
0,600000	0,564288	0,000354
0,610000	0,572528	0,000339
0,620000	0,580710	0,000325
0,630000	0,588833	0,000312
0,640000	0,596897	0,000298
0,650000	0,604902	0,000284
0,660000	0,612845	0,000272
0,670000	0,620727	0,000259
0,680000	0,628547	0,000246
0,690000	0,636303	0,000234
0,700000	0,643996	0,000222
0,710000	0,651624	0,000210
0,720000	0,659186	0,000199
0,730000	0,666682	0,000188
0,740000	0,674111	0,000177
0,750000	0,681472	0,000167
0,760000	0,688765	0,000156
0,770000	0,695989	0,000146
0,780000	0,703143	0,000136
0,790000	0,710226	0,000127
0,800000	0,717238	0,000118
0,810000	0,724177	0,000110
0,820000	0,731044	0,000102
0,830000	0,737838	0,000093
0,840000	0,744557	0,000086
0,850000	0,751202	0,000078
0,860000	0,757771	0,000072
0,870000	0,764265	0,000064
0,880000	0,770681	0,000058
0,890000	0,777020	0,000052
0,900000	0,783281	0,000046
0,910000	0,789464	0,000040
0,920000	0,795567	0,000035
0,930000	0,801591	0,000029
0,940000	0,807534	0,000024
0,950000	0,813396	0,000020
0,960000	0,819176	0,000016
0,970000	0,824875	0,000011
0,980000	0,830490	0,000007
0,990000	0,836023	0,000003
1,000000	0,841471	0,000000
1,010000	0,846835	0,000003
