0.000000	0.000000	0.000000	0.000000	0.000000e+00
0.000100	0.000100	0.000000	0.000000	0.000000e+00
0.000200	0.000200	0.000000	0.000000	6.058452e-27
0.000300	0.000300	0.000000	0.000000	1.211690e-26
0.000400	0.000400	0.000000	0.000000	2.423381e-26
0.000500	0.000500	0.000000	0.000000	2.423381e-26
0.000600	0.000600	0.000001	0.000001	0.000000e+00
0.000700	0.000700	0.000001	0.000001	4.846761e-26
0.000800	0.000800	0.000001	0.000001	0.000000e+00
0.000900	0.000900	0.000001	0.000001	0.000000e+00
0.001000	0.001000	0.000001	0.000001	0.000000e+00
0.001100	0.001100	0.000002	0.000002	0.000000e+00
0.001200	0.001200	0.000002	0.000002	0.000000e+00
0.001300	0.001300	0.000003	0.000003	0.000000e+00
0.001400	0.001400	0.000003	0.000003	0.000000e+00
0.001500	0.001500	0.000003	0.000003	1.938705e-25
0.001600	0.001600	0.000004	0.000004	0.000000e+00
0.001700	0.001700	0.000004	0.000004	3.877409e-25
0.001800	0.001800	0.000005	0.000005	3.877409e-25
0.001900	0.001900	0.000005	0.000005	3.877409e-25
0.002000	0.002000	0.000006	0.000006	3.877409e-25
0.002100	0.002100	0.000007	0.000007	3.877409e-25
0.002200	0.002200	0.000007	0.000007	3.877409e-25
0.002300	0.002300	0.000008	0.000008	7.754818e-25
0.002400	0.002400	0.000009	0.000009	1.550964e-24
0.002500	0.002500	0.000009	0.000009	2.326445e-24
0.002600	0.002600	0.000010	0.000010	2.326445e-24
0.002700	0.002700	0.000011	0.000011	2.326445e-24
0.002800	0.002800	0.000012	0.000012	2.326445e-24
0.002900	0.002900	0.000013	0.000013	3.101927e-24
0.003000	0.003000	0.000013	0.000013	3.877409e-24
0.003100	0.003100	0.000014	0.000014	3.877409e-24
0.003200	0.003200	0.000015	0.000015	4.652891e-24
0.003300	0.003300	0.000016	0.000016	6.203855e-24
0.003400	0.003400	0.000017	0.000017	7.754818e-24
0.003500	0.003500	0.000018	0.000018	7.754818e-24
0.003600	0.003600	0.000019	0.000019	7.754818e-24
0.003700	0.003700	0.000021	0.000021	7.754818e-24
0.003800	0.003800	0.000022	0.000022	7.754818e-24
0.003900	0.003900	0.000023	0.000023	7.754818e-24
0.004000	0.004000	0.000024	0.000024	7.754818e-24
0.004100	0.004100	0.000025	0.000025	7.754818e-24
0.004200	0.004200	0.000026	0.000026	9.305782e-24
0.004300	0.004300	0.000028	0.000028	1.085675e-23
0.004400	0.004400	0.000029	0.000029	1.085675e-23
0.004500	0.004500	0.000030	0.000030	1.085675e-23
0.004600	0.004600	0.000032	0.000032	1.240771e-23
0.004700	0.004700	0.000033	0.000033	1.550964e-23
0.004800	0.004800	0.000035	0.000035	1.550964e-23
0.004900	0.004900	0.000036	0.000036	1.550964e-23
0.005000	0.005000	0.000037	0.000037	1.861156e-23
0.005100	0.005100	0.000039	0.000039	1.861156e-23
0.005200	0.005200	0.000041	0.000041	1.861156e-23
0.005300	0.005300	0.000042	0.000042	1.861156e-23
0.005400	0.005400	0.000044	0.000044	1.550964e-23
0.005500	0.005500	0.000045	0.000045	1.240771e-23
0.005600	0.005600	0.000047	0.000047	1.240771e-23
0.005700	0.005700	0.000049	0.000049	1.240771e-23
0.005800	0.005800	0.000050	0.000050	1.240771e-23
0.005900	0.005900	0.000052	0.000052	1.240771e-23
0.006000	0.006000	0.000054	0.000054	1.240771e-23
0.006100	0.006100	0.000056	0.000056	1.240771e-23
0.006200	0.006200	0.000058	0.000058	1.240771e-23
0.006300	0.006300	0.000060	0.000060	9.305782e-24
0.006400	0.006400	0.000061	0.000061	6.203855e-24
0.006500	0.006500	0.000063	0.000063	6.203855e-24
0.006600	0.006600	0.000065	0.000065	0.000000e+00
0.006700	0.006700	0.000067	0.000067	0.000000e+00
0.006800	0.006800	0.000069	0.000069	0.000000e+00
0.006900	0.006900	0.000071	0.000071	0.000000e+00
0.007000	0.007000	0.000073	0.000073	0.000000e+00
0.007100	0.007100	0.000076	0.000076	0.000000e+00
0.007200	0.007200	0.000078	0.000078	6.203855e-24
0.007300	0.007300	0.000080	0.000080	1.240771e-23
0.007400	0.007400	0.000082	0.000082	1.240771e-23
0.007500	0.007500	0.000084	0.000084	1.240771e-23
0.007600	0.007600	0.000087	0.000087	1.240771e-23
0.007700	0.007700	0.000089	0.000089	1.240771e-23
0.007800	0.007800	0.000091	0.000091	1.240771e-23
0.007900	0.007900	0.000094	0.000094	1.240771e-23
0.008000	0.008000	0.000096	0.000096	1.240771e-23
0.008100	0.008100	0.000098	0.000098	1.240771e-23
0.008200	0.008200	0.000101	0.000101	1.240771e-23
0.008300	0.008300	0.000103	0.000103	1.240771e-23
0.008400	0.008400	0.000106	0.000106	1.240771e-23
0.008500	0.008500	0.000108	0.000108	1.240771e-23
0.008600	0.008600	0.000111	0.000111	1.240771e-23
0.008700	0.008700	0.000114	0.000114	1.240771e-23
0.008800	0.008800	0.000116	0.000116	1.240771e-23
0.008900	0.008900	0.000119	0.000119	1.240771e-23
0.009000	0.009000	0.000121	0.000121	1.240771e-23
0.009100	0.009100	0.000124	0.000124	1.240771e-23
0.009200	0.009200	0.000127	0.000127	1.240771e-23
0.009300	0.009300	0.000130	0.000130	0.000000e+00
0.009400	0.009400	0.000133	0.000133	0.000000e+00
0.009500	0.009500	0.000135	0.000135	0.000000e+00
0.009600	0.009600	0.000138	0.000138	0.000000e+00
0.009700	0.009700	0.000141	0.000141	0.000000e+00
0.009800	0.009800	0.000144	0.000144	1.240771e-23
0.009900	0.009900	0.000147	0.000147	1.240771e-23
