1)	0.0000000000000000000000e+00	0.0000000000000000000000e+00
2)	3.5353535353535353535047e+00	2.1800549899388816098593e-01
3)	7.0707070707070707070094e+00	8.7036248517763626313505e-01
4)	1.0606060606060606060080e+01	1.9521019006068821431861e+00
5)	1.4141414141414141414019e+01	3.4549735154577724818240e+00
6)	1.7676767676767676767957e+01	5.3674930600966197649995e+00
7)	2.1212121212121212120161e+01	7.6750078746889534063794e+00
8)	2.4747474747474747474099e+01	1.0359780742974762804930e+01
9)	2.8282828282828282828038e+01	1.3401091484313516804389e+01
10)	3.1818181818181818181976e+01	1.6775355787606894679767e+01
11)	3.5353535353535353535914e+01	2.0456260682670696877256e+01
12)	3.8888888888888888888118e+01	2.4414915959470498810907e+01
13)	4.2424242424242424240322e+01	2.8620020763765483835100e+01
14)	4.5959595959595959595995e+01	3.3038044519513727306087e+01
15)	4.9494949494949494948198e+01	3.7633421254255359066770e+01
16)	5.3030303030303030303871e+01	4.2368756333964308555262e+01
17)	5.6565656565656565656075e+01	4.7205044548881341145985e+01
18)	6.0101010101010101008279e+01	5.2101898431925684450350e+01
19)	6.3636363636363636363952e+01	5.7017785636721372476143e+01
20)	6.7171717171717171719625e+01	6.1910274153334602331017e+01
21)	7.0707070707070707071829e+01	6.6736284096741201585234e+01
22)	7.4242424242424242424032e+01	7.1452344766043117005316e+01
23)	7.7777777777777777776236e+01	7.6014855641716095373261e+01
24)	8.1313131313131313128439e+01	8.0380349963855055178685e+01
25)	8.4848484848484848480643e+01	8.4505759516617092043378e+01
26)	8.8383838383838383839786e+01	8.8348679232942474728874e+01
27)	9.1919191919191919191989e+01	9.1867630229228543610465e+01
28)	9.5454545454545454544193e+01	9.5022319881976258310052e+01
29)	9.8989898989898989896397e+01	9.7773897567529151467203e+01
30)	1.0252525252525252524860e+02	1.0008520470185321072504e+02
31)	1.0606060606060606060774e+02	1.0192101773980606616021e+02
32)	1.0959595959595959595995e+02	1.0324828282242610349995e+02
33)	1.1313131313131313131215e+02	1.0403634079631736639171e+02
34)	1.1666666666666666666435e+02	1.0425714137106476644967e+02
35)	1.2020202020202020201656e+02	1.0388544522860702407768e+02
36)	1.2373737373737373737570e+02	1.0289901295241393612556e+02
37)	1.2727272727272727272790e+02	1.0127877970392409559541e+02
38)	1.3080808080808080808011e+02	9.9009014638736249580564e+01
39)	1.3434343434343434343925e+02	9.6077464125223467017456e+01
40)	1.3787878787878787878451e+02	9.2475477903241071926665e+01
41)	1.4141414141414141414366e+02	8.8198117400090594114603e+01
42)	1.4494949494949494948892e+02	8.3244245504524831832938e+01
43)	1.4848484848484848484806e+02	7.7616597186955429719946e+01
44)	1.5202020202020202020721e+02	7.1321830444757634587249e+01
45)	1.5555555555555555555247e+02	6.4370557145243882994634e+01
46)	1.5909090909090909091161e+02	5.6777353435070536460949e+01
47)	1.6262626262626262625688e+02	4.8560749483109377430678e+01
48)	1.6616161616161616161602e+02	3.9743198423705391558042e+01
49)	1.6969696969696969696129e+02	3.0351024468293892879731e+01
50)	1.7323232323232323232043e+02	2.0414350255095278152337e+01
51)	1.7676767676767676767957e+02	9.9670036085719023767615e+00
52)	1.8030303030303030302484e+02	-9.5359601795668264294283e-01
53)	1.8383838383838383838398e+02	-1.2306571042162555036474e+01
54)	1.8737373737373737372924e+02	-2.4047738720868211261678e+01
55)	1.9090909090909090908839e+02	-3.6129783014260105428878e+01
56)	1.9444444444444444444753e+02	-4.8502444677940781622011e+01
57)	1.9797979797979797979279e+02	-6.1112728821239399163573e+01
58)	2.0151515151515151515194e+02	-7.3905129079879960253552e+01
59)	2.0505050505050505049720e+02	-8.6821867464264128544382e+01
60)	2.0858585858585858585634e+02	-9.9803148861681556913705e+01
61)	2.1212121212121212121549e+02	-1.1278742909211942360009e+02
62)	2.1565656565656565656075e+02	-1.2571169534339076512969e+02
63)	2.1919191919191919191989e+02	-1.3851175774240477957255e+02
64)	2.2272727272727272726516e+02	-1.5112255075590668758345e+02
65)	2.2626262626262626262430e+02	-1.6347844305624199273685e+02
66)	2.2979797979797979798344e+02	-1.7551355443594746320868e+02
67)	2.3333333333333333332871e+02	-1.8716207830951019434884e+02
68)	2.3686868686868686868785e+02	-1.9835860830171063955152e+02
69)	2.4040404040404040403311e+02	-2.0903846738979090184862e+02
70)	2.4393939393939393939226e+02	-2.1913803804145156937933e+02
71)	2.4747474747474747475140e+02	-2.2859509177253407874453e+02
72)	2.5101010101010101009666e+02	-2.3734911653731471535556e+02
73)	2.5454545454545454545581e+02	-2.4534164036071251568938e+02
74)	2.5808080808080808080107e+02	-2.5251654962545551037778e+02
75)	2.6161616161616161616021e+02	-2.5882040043838389845043e+02
76)	2.6515151515151515151936e+02	-2.6420272151858753814646e+02
77)	2.6868686868686868687850e+02	-2.6861630707593787842358e+02
78)	2.7222222222222222220989e+02	-2.7201749818170707637122e+02
79)	2.7575757575757575756903e+02	-2.7436645117326234336042e+02
80)	2.7929292929292929292817e+02	-2.7562739168214150978220e+02
81)	2.8282828282828282828731e+02	-2.7576885292898402954331e+02
82)	2.8636363636363636364646e+02	-2.7476389698960608645728e+02
83)	2.8989898989898989897784e+02	-2.7259031780373410305818e+02
84)	2.9343434343434343433699e+02	-2.6923082477128273573563e+02
85)	2.9696969696969696969613e+02	-2.6467320586028733506168e+02
86)	3.0050505050505050505527e+02	-2.5891046923535499932334e+02
87)	3.0404040404040404041441e+02	-2.5194096250543439835523e+02
88)	3.0757575757575757574580e+02	-2.4376846878444902889937e+02
89)	3.1111111111111111110494e+02	-2.3440227885749449711350e+02
90)	3.1464646464646464646409e+02	-2.2385723884844890368973e+02
91)	3.1818181818181818182323e+02	-2.1215377289154738507659e+02
92)	3.2171717171717171718237e+02	-1.9931788041927001500775e+02
93)	3.2525252525252525251376e+02	-1.8538110779131286821875e+02
94)	3.2878787878787878787290e+02	-1.7038049410396706559445e+02
95)	3.3232323232323232323204e+02	-1.5435849113541972453534e+02
96)	3.3585858585858585859119e+02	-1.3736285749980352587085e+02
97)	3.3939393939393939392257e+02	-1.1944652720073972967940e+02
98)	3.4292929292929292928171e+02	-1.0066745289311895421996e+02
99)	3.4646464646464646464086e+02	-8.1088424279417466833397e+01
100)	3.5000000000000000000000e+02	-6.0776862183425704160705e+01
