0.050000	10.347794	10.297815
0.100000	9.064441	8.964608
0.150000	13.074188	12.924750
0.200000	16.132085	15.933416
0.250000	31.082693	30.835289
0.300000	56.940004	56.644484
0.350000	98.655698	98.312800
0.400000	162.171071	161.781653
0.450000	254.417035	253.982069
0.500000	383.314115	382.834689
0.550000	557.772452	557.249765
0.600000	787.691803	787.127161
0.650000	1083.961538	1083.356352
0.700000	1458.460643	1457.816425
0.750000	1924.057720	1923.376081
0.800000	2494.610984	2493.893628
0.850000	3184.968266	3184.216986
0.900000	4010.967013	4010.183686
0.950000	4989.434285	4988.620869
1.000000	6138.186758	6137.345287
1.050000	7476.030724	7475.163301
1.100000	9022.762088	9021.870881
1.150000	10799.166371	10798.253607
1.200000	12827.018710	12826.086671
1.250000	15129.083855	15128.134870
1.300000	17729.116172	17728.152614
1.350000	20651.859643	20650.883920
1.400000	23923.047863	23922.062413
1.450000	27569.404043	27568.411330
1.500000	31618.641010	31617.643515
1.550000	36099.461204	36098.461420
1.600000	41041.556681	41040.557107
1.650000	46475.609113	46474.612248
1.700000	52433.289785	52432.298120
1.750000	58947.259598	58946.275612
1.800000	66051.169069	66050.195221
1.850000	73779.658328	73778.697053
1.900000	82168.357121	82167.410821
1.950000	91253.884810	91252.955850
2.000000	101073.850370	101072.941073
2.050000	111666.852392	111665.965030
2.100000	123072.479083	123071.615874
2.150000	135331.308263	135330.471364
2.200000	148484.907368	148484.098872
2.250000	162575.833450	162575.055377
2.300000	177647.633174	177646.887469
2.350000	193744.842821	193744.131348
2.400000	210912.988288	210912.312825
2.450000	229198.585085	229197.947320
2.500000	248649.138338	248648.539866
2.550000	269313.142789	269312.585105
2.600000	291240.082793	291239.567292
2.650000	314480.432321	314479.960290
2.700000	339085.654960	339085.227580
2.750000	365108.203910	365107.822249
2.800000	392601.521987	392601.186999
2.850000	421620.041623	421619.754145
2.900000	452219.184863	452218.945614
2.950000	484455.363368	484455.172945
3.000000	518385.978415	518385.837295
3.050000	554069.420894	554069.329429
3.100000	591565.071311	591565.029730
3.150000	630933.299788	630933.308195
3.200000	672235.466060	672235.524434
3.250000	715533.919478	715534.027673
3.300000	760891.999009	760892.156755
3.350000	808374.033233	808374.240135
3.400000	858045.340346	858045.595887
3.450000	909972.228160	909972.531702
3.500000	964221.994100	964222.344883
3.550000	1020862.925207	1020863.322355
3.600000	1079964.298138	1079964.740658
3.650000	1141596.379163	1141596.865950
3.700000	1205830.424168	1205830.954004
3.750000	1272738.678655	1272739.250216
3.800000	1342394.377739	1342394.989597
3.850000	1414871.746151	1414872.396776
3.900000	1490245.998238	1490246.686004
3.950000	1568593.337960	1568594.061148
4.000000	1649990.958893	1649991.715695
4.050000	1734517.044229	1734517.832754
4.100000	1822250.766773	1822251.585050
4.150000	1913272.288946	1913273.134930
4.200000	2007662.762785	2007663.634361
4.250000	2105504.329940	2105505.224929
4.300000	2206880.121677	2206881.037843
4.350000	2311874.258878	2311875.193931
4.400000	2420571.852038	2420572.803640
4.450000	2533059.001268	2533059.967041
4.500000	2649422.796295	2649423.773825
4.550000	2769751.316459	2769752.303303
4.600000	2894133.630716	2894134.624407
4.650000	3022659.797638	3022660.795692
4.700000	3155420.865410	3155421.865333
4.750000	3292508.871833	3292509.871126
4.800000	3434016.844324	3434017.840489
4.850000	3580038.799913	3580039.790460
4.900000	3730669.745246	3730670.727699
4.950000	3886005.676585	3886006.648488
5.000000	4046143.579805	4046144.538729
